INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality
UV Filter Variant 23,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 24,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 25,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 26,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 27,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 28,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 29,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 30,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 31,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 32,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 33,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 34,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 35,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 36,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 37,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 38,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 39,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 40,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 41,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 42,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 43,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 44,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 45,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 46,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 47,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 48,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 49,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 50,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 51,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 52,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 53,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 54,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 55,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 56,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 57,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
UV Filter Variant 58,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,
